"Contract_ID";"Player_ID";"Team_ID";"Start_Date";"Salary";"End_Date"
1;1;1;"2024-03-10 00:00:00";1965798;"2024-12-11 00:00:00"
2;2;1;"2024-03-15 00:00:00";1624405;"2024-11-04 00:00:00"
3;3;1;"2024-04-04 00:00:00";1382708;"2024-12-13 00:00:00"
4;4;1;"2024-06-01 00:00:00";1623931;"2025-01-03 00:00:00"
5;5;1;"2024-04-14 00:00:00";907559;"2024-12-19 00:00:00"
6;6;1;"2024-01-13 00:00:00";721663;"2024-12-25 00:00:00"
7;7;1;"2024-06-09 00:00:00";1823885;"2025-02-07 00:00:00"
8;8;1;"2024-03-06 00:00:00";1541882;"2024-11-23 00:00:00"
9;9;1;"2024-03-07 00:00:00";1692432;"2024-12-02 00:00:00"
10;10;1;"2024-03-11 00:00:00";994921;"2025-03-01 00:00:00"
11;11;2;"2024-01-09 00:00:00";1918415;"2024-09-07 00:00:00"
12;12;2;"2024-02-14 00:00:00";906297;"2025-02-01 00:00:00"
13;13;2;"2024-06-09 00:00:00";1962061;"2025-01-05 00:00:00"
14;14;2;"2024-06-06 00:00:00";641762;"2025-02-13 00:00:00"
15;15;2;"2024-04-03 00:00:00";755543;"2024-11-29 00:00:00"
16;16;2;"2024-05-04 00:00:00";722682;"2025-04-03 00:00:00"
17;17;2;"2024-06-13 00:00:00";1271752;"2025-01-28 00:00:00"
18;18;2;"2024-05-08 00:00:00";1867786;"2025-03-12 00:00:00"
19;19;2;"2024-01-15 00:00:00";1383686;"2024-08-14 00:00:00"
20;20;2;"2024-05-15 00:00:00";1053103;"2025-01-25 00:00:00"
21;21;3;"2024-02-07 00:00:00";1615138;"2024-12-05 00:00:00"
22;22;3;"2024-04-05 00:00:00";1785459;"2025-04-03 00:00:00"
23;23;3;"2024-03-02 00:00:00";1245748;"2025-01-17 00:00:00"
24;24;3;"2024-04-06 00:00:00";647470;"2024-10-24 00:00:00"
25;25;3;"2024-02-06 00:00:00";846718;"2025-01-17 00:00:00"
26;26;3;"2024-03-15 00:00:00";859719;"2025-03-04 00:00:00"
27;27;3;"2024-01-09 00:00:00";1338769;"2024-10-08 00:00:00"
28;28;3;"2024-02-10 00:00:00";694150;"2024-09-21 00:00:00"
29;29;3;"2024-05-09 00:00:00";1600449;"2025-04-03 00:00:00"
30;30;3;"2024-05-09 00:00:00";1183801;"2024-11-27 00:00:00"
31;31;4;"2024-05-02 00:00:00";1116969;"2025-02-26 00:00:00"
32;32;4;"2024-01-11 00:00:00";1609014;"2024-09-08 00:00:00"
33;33;4;"2024-03-01 00:00:00";516204;"2024-11-29 00:00:00"
34;34;4;"2024-04-09 00:00:00";903068;"2025-03-28 00:00:00"
35;35;4;"2024-02-05 00:00:00";1093212;"2025-01-23 00:00:00"
36;36;4;"2024-02-09 00:00:00";1705118;"2024-09-15 00:00:00"
37;37;4;"2024-03-15 00:00:00";1115926;"2024-09-12 00:00:00"
38;38;4;"2024-05-06 00:00:00";681626;"2025-02-11 00:00:00"
39;39;4;"2024-04-09 00:00:00";1888755;"2024-11-05 00:00:00"
40;40;4;"2024-06-02 00:00:00";1890912;"2025-04-05 00:00:00"
