"PID";"PPos"
1;"Center Field"
2;"Pitcher"
3;"Pitcher"
4;"Right Field"
5;"Left Field"
6;"Left Field"
7;"Second Base"
8;"Pitcher"
9;"First Base"
10;"Shortstop"
11;"Shortstop"
12;"Shortstop"
13;"Second Base"
14;"Catcher"
15;"Shortstop"
16;"Left Field"
17;"Left Field"
18;"Pitcher"
19;"Catcher"
20;"First Base"
21;"Left Field"
22;"Right Field"
23;"Pitcher"
24;"Catcher"
25;"Third Base"
26;"Third Base"
27;"Pitcher"
28;"Catcher"
29;"Right Field"
30;"Pitcher"
31;"Center Field"
32;"Right Field"
33;"Center Field"
34;"Pitcher"
35;"Left Field"
36;"Third Base"
37;"Pitcher"
38;"Right Field"
39;"Center Field"
40;"Pitcher"
